id,straw_man,appeal_to_fear,fud,bandwagon,whataboutism,loaded_language,glittering_generalities,euphoria,cherry_picking,cliche,Usage
521cd2e8-dd9f-42c4-98ba-c0c8890ff1ba,0,0,1,0,0,1,0,0,0,0,Public
9b2a61e4-d14e-4ff7-b304-e73d720319bf,0,0,0,0,0,1,0,0,0,0,Public
f0f1c236-80a8-4d25-b30c-a420a39be632,0,0,0,0,0,1,0,0,0,0,Public
31ea05ba-2c2b-4b84-aba7-f3cf6841b204,0,0,0,0,0,0,0,0,0,0,Public
a79e13ec-6d9a-40b5-b54c-7f4f743a7525,0,0,0,0,0,1,0,0,0,0,Public
d7395991-9bea-42c8-a999-4634b917f0eb,0,0,0,0,0,1,0,0,0,0,Public
b8941fdc-bbd6-4199-802a-f87bef2244c2,0,0,0,0,0,0,0,0,0,0,Public
f5a1fbe5-43d6-4f07-ab6f-93b8d6984e57,0,0,0,0,0,0,0,1,0,0,Public
6f6f382b-8b90-4b18-951f-109a8c5b0406,0,0,0,0,0,0,0,0,1,0,Public
b0a8c454-62cf-4a0d-a42b-176d7664b78b,0,0,0,0,0,1,0,1,0,0,Public
37bf798a-3156-4eae-9d8e-cbd957e19ae8,0,0,1,0,0,1,0,0,0,0,Public
d6a29c71-5ff8-4ecf-a22a-64621911ed5b,0,1,0,0,0,0,0,0,0,0,Public
a39e00bb-702c-4acd-8bd8-124b9a4661f0,0,0,0,0,0,0,0,0,0,0,Public
e0b3564d-3ffb-4f7a-ac51-bb13a22342a8,0,1,1,0,0,1,0,0,0,0,Public
098e1c91-22c4-4f49-8e6e-a471bc108ab3,0,0,1,0,0,1,0,0,1,0,Public
508e7f83-84a4-4940-b7e1-49a4284577d4,0,0,0,0,0,1,0,0,0,0,Public
4ebe44ea-0432-406e-bbb8-ec83c146ba0b,0,0,0,0,0,1,0,0,0,0,Public
c7f6d9b4-9e8c-4cfc-a8f5-f5111c1704f0,0,0,0,0,0,1,0,0,0,0,Public
a12faf39-d870-4819-9911-bea33f2ee158,0,0,0,0,0,0,0,0,0,0,Public
d22586a5-48ba-4f43-b729-8a029e374732,0,1,0,0,0,1,0,0,0,0,Public
83b1f511-296e-4cb9-a759-cf3076098a32,0,0,0,0,0,1,0,0,0,0,Public
4aafdaf9-8d2c-42ef-a493-38a50306c42a,0,0,0,0,0,0,0,0,0,0,Public
272b5cb6-4706-4787-ba4c-fd856cc12373,0,0,0,0,0,0,0,0,0,0,Public
deede68d-63a5-4268-b58d-4af22642af5c,0,0,0,0,0,1,1,0,0,1,Public
3222ff30-f14b-4cc0-a787-0f14d1b72480,0,0,0,0,0,0,0,0,0,0,Public
ae5bb90f-5bb9-4e03-8f6f-af31f62e0831,0,0,1,0,0,1,0,0,0,1,Public
74c55250-3e42-4c95-b7dc-18964228fcd5,0,0,0,0,0,1,0,0,0,1,Public
27374035-9952-4dab-890e-32692bda37db,0,0,0,0,0,0,0,1,0,0,Public
